data,ano,mes,nome_mes,cidade,regiao,latitude,longitude,temp_max,temp_min,temp_media,umidade_pct,chuva_mm,vento_kmh,pressao_hpa
2023-01-01,2023,1,Janeiro,Florianópolis,Sul,-27.6,-48.55,20.8,11.5,16.2,79.7,117.8,22.9,1007.4
2024-08-01,2024,8,Agosto,Maceió,Nordeste,-9.67,-35.74,25.4,13.7,19.5,68.1,232.5,21.3,1015.8
2022-03-01,2022,3,Março,Curitiba,Sul,-25.43,-49.27,13.6,4.7,9.2,77.9,125.2,11.9,1008.0
2020-06-01,2020,6,Junho,Belém,Norte,-1.45,-48.5,28.8,17.2,23.0,77.0,346.6,30.3,1020.9
2020-08-01,2020,8,Agosto,São Luís,Nordeste,-2.53,-44.3,6.1,19.8,23.0,56.6,212.1,27.4,1015.7
2022-03-01,2022,3,Março,Natal,Nordeste,-5.79,-35.21,30.1,20.4,25.2,48.0,87.0,24.5,1010.6
2023-04-01,2023,4,Abril,Cuiabá,Centro-Oeste,-15.6,-56.1,28.9,18.5,23.7,64.9,161.9,28.8,1009.7
2024-11-01,2024,11,Novembro,Manaus,Norte,-3.1,-60.02,27.9,17.2,22.5,89.4,178.7,21.1,1013.0
2021-06-01,2021,6,Junho,Salvador,Nordeste,-12.97,-38.51,27.1,20.3,23.7,53.0,210.0,7.6,1014.6
2023-12-01,2023,12,Dezembro,Goiânia,Centro-Oeste,-16.69,-49.26,22.9,11.3,17.1,70.3,65.8,15.0,1016.5
2021-01-01,2021,1,Janeiro,Macapá,Norte,0.03,-51.07,28.8,18.5,23.6,97.9,190.8,30.7,1016.0
2021-12-01,2021,12,Dezembro,Manaus,Norte,-3.1,-60.02,25.6,18.6,22.1,89.3,219.3,25.9,1013.5
2023-10-01,2023,10,Outubro,Belo Horizonte,Sudeste,-19.92,-43.94,20.3,9.1,14.7,73.1,110.6,17.9,1018.2
2023-08-01,2023,8,Agosto,Manaus,Norte,-3.1,-60.02,26.6,20.2,23.4,85.1,290.2,20.7,1013.3
2024-06-01,2024,6,Junho,Macapá,Norte,0.03,-51.07,27.8,20.0,23.9,90.1,297.9,5.7,1009.5
2021-10-01,2021,10,Outubro,Florianópolis,Sul,-27.6,-48.55,23.8,17.0,20.4,89.8,180.5,30.7,1018.0
2023-05-01,2023,5,Maio,Macapá,Norte,0.03,-51.07,29.2,22.7,26.0,85.8,272.8,5.9,1014.6
2021-10-01,2021,10,Outubro,Teresina,Nordeste,-5.09,-42.8,26.3,14.8,20.6,58.0,13.2,33.4,1014.3
2022-08-01,2022,8,Agosto,Recife,Nordeste,-8.05,-34.88,24.4,14.4,19.4,63.3,222.0,8.7,1012.1
2022-05-01,2022,5,Maio,Natal,Nordeste,-5.79,-35.21,29.2,19.8,24.5,55.6,119.1,11.9,1014.9
2021-10-01,2021,10,Outubro,São Paulo,Sudeste,-23.55,-46.63,13.1,1.9,7.5,70.8,171.0,19.1,1015.1
2021-03-01,2021,3,Março,Vitória,Sudeste,-20.32,-40.34,26.4,14.5,20.4,76.7,107.1,23.4,1023.0
2020-11-01,2020,11,Novembro,São Luís,Nordeste,-2.53,-44.3,25.7,14.9,20.3,57.7,114.2,25.3,1003.2
2024-11-01,2024,11,Novembro,Fortaleza,Nordeste,-3.72,-38.54,26.3,16.4,21.4,54.0,0.0,27.3,1012.6
2020-02-01,2020,2,Fevereiro,Brasília,Centro-Oeste,-15.78,-47.93,23.2,15.0,19.1,63.8,66.9,17.9,1014.7
2024-04-01,2024,4,Abril,Goiânia,Centro-Oeste,-16.69,-49.26,28.8,21.9,25.4,60.8,139.3,33.7,1008.8
2023-02-01,2023,2,Fevereiro,Fortaleza,Nordeste,-3.72,-38.54,28.5,18.9,23.7,57.2,50.5,25.9,1009.4
2024-02-01,2024,2,Fevereiro,Belo Horizonte,Sudeste,-19.92,-43.94,22.7,11.9,17.3,67.1,105.0,21.0,1013.1
2021-02-01,2021,2,Fevereiro,Vitória,Sudeste,-20.32,-40.34,25.7,14.9,20.3,71.0,114.1,15.5,1016.7
2022-10-01,2022,10,Outubro,Vitória,Sudeste,-20.32,-40.34,20.3,10.3,15.3,68.6,134.7,9.7,1012.3
2021-03-01,2021,3,Março,Fortaleza,Nordeste,-3.72,-38.54,29.4,19.2,24.3,61.6,95.8,34.0,1012.4
2024-05-01,2024,5,Maio,Recife,Nordeste,-8.05,-34.88,31.0,24.7,27.8,57.5,127.3,14.5,1009.7
2024-04-01,2024,4,Abril,Brasília,Centro-Oeste,-15.78,-47.93,22.6,11.6,17.1,73.7,112.4,22.1,1013.2
2020-06-01,2020,6,Junho,São Luís,Nordeste,-2.53,-44.3,29.5,22.5,26.0,51.6,227.7,6.0,1006.7
2024-01-01,2024,1,Janeiro,Belo Horizonte,Sudeste,-19.92,-43.94,22.3,12.4,17.4,68.9,127.3,29.5,1011.5
2021-06-01,2021,6,Junho,Florianópolis,Sul,-27.6,-48.55,18.4,6.9,12.6,83.8,44.4,20.6,1011.2
2024-05-01,2024,5,Maio,Maceió,Nordeste,-9.67,-35.74,27.8,16.9,22.4,68.9,144.4,12.1,1015.1
2022-07-01,2022,7,Julho,Fortaleza,Nordeste,-3.72,-38.54,30.1,23.5,26.8,56.8,126.7,26.2,1027.6
2022-09-01,2022,9,Setembro,Manaus,Norte,-3.1,-60.02,24.7,16.5,20.6,85.7,251.8,30.7,1024.7
2021-08-01,2021,8,Agosto,Goiânia,Centro-Oeste,-16.69,-49.26,22.2,15.9,19.0,68.5,143.9,5.1,1016.6
2023-04-01,2023,4,Abril,Goiânia,Centro-Oeste,-16.69,-49.26,25.9,14.9,23.8,75.0,148.7,7.0,1018.6
2021-10-01,2021,10,Outubro,Vitória,Sudeste,-20.32,-40.34,19.3,11.9,15.6,80.0,99.5,34.7,1025.0
2021-10-01,2021,10,Outubro,Belém,Norte,-1.45,-48.5,22.7,16.1,19.4,83.6,278.4,30.7,1008.3
2023-11-01,2023,11,Novembro,Maceió,Nordeste,-9.67,-35.74,23.9,16.3,20.1,63.5,81.5,7.7,1018.8
2024-03-01,2024,3,Março,Salvador,Nordeste,-12.97,-38.51,29.0,21.1,25.0,60.1,195.3,23.3,1015.4
2021-01-01,2021,1,Janeiro,Teresina,Nordeste,-5.09,-42.8,31.1,23.9,27.5,40.4,4.3,31.2,1015.1
2021-07-01,2021,7,Julho,São Luís,Nordeste,-2.53,-44.3,27.8,21.5,24.6,62.1,213.1,33.4,1007.1
2020-04-01,2020,4,Abril,Cuiabá,Centro-Oeste,-15.6,-56.1,30.8,21.2,26.0,65.6,200.9,33.4,1012.8
2021-04-01,2021,4,Abril,Belo Horizonte,Sudeste,-19.92,-43.94,24.3,17.7,21.0,69.8,103.7,32.2,1009.5
2023-02-01,2023,2,Fevereiro,Campo Grande,Centro-Oeste,-20.44,-54.65,24.3,14.9,19.6,70.9,114.5,16.8,1010.9
2024-08-01,2024,8,Agosto,Belém,Norte,-1.45,-48.5,26.9,16.2,21.5,82.1,305.3,8.1,1010.1
2024-11-01,2024,11,Novembro,São Luís,Nordeste,-2.53,-44.3,25.4,18.4,21.9,62.1,109.3,20.1,1004.8
2023-10-01,2023,10,Outubro,Cuiabá,Centro-Oeste,-15.6,-56.1,23.1,11.7,17.4,64.0,101.6,6.6,1010.3
2023-12-01,2023,12,Dezembro,Maceió,Nordeste,-9.67,-35.74,24.9,18.5,21.7,69.2,109.8,19.9,1013.7
2024-12-01,2024,12,Dezembro,Cuiabá,Centro-Oeste,-15.6,-56.1,24.7,13.8,19.2,66.0,47.0,7.4,1016.0
2020-05-01,2020,5,Maio,Rio de Janeiro,Sudeste,-22.91,-43.17,26.8,15.8,21.3,70.9,162.0,16.5,1018.8
2022-10-01,2022,10,Outubro,São Paulo,Sudeste,-23.55,-46.63,16.5,7.5,12.9,70.6,156.2,7.3,1006.0
2023-03-01,2023,3,Março,Teresina,Nordeste,-5.09,-42.8,33.2,27.0,30.1,62.0,52.3,23.9,1004.9
2024-02-01,2024,2,Fevereiro,Salvador,Nordeste,-12.97,-38.51,26.7,20.5,23.6,65.6,107.3,8.8,1019.9
2022-05-01,2022,5,Maio,Florianópolis,Sul,-27.6,-48.55,19.2,10.0,14.6,87.4,65.8,26.1,1012.9
2024-10-01,2024,10,Outubro,Porto Alegre,Sul,-30.03,-51.23,21.2,10.1,15.6,88.7,70.7,21.7,1016.1
2024-04-01,2024,4,Abril,Recife,Nordeste,-8.05,-34.88,30.7,24.5,27.6,51.2,179.0,26.3,1005.4
2021-08-01,2021,8,Agosto,Fortaleza,Nordeste,-3.72,-38.54,29.8,20.4,25.1,52.4,51.3,30.2,1009.2
2022-10-01,2022,10,Outubro,Florianópolis,Sul,-27.6,-48.55,25.2,15.7,20.4,90.9,103.4,30.4,1021.2
2023-01-01,2023,1,Janeiro,São Paulo,Sudeste,-23.55,-46.63,18.5,10.0,14.2,78.9,122.8,8.8,1011.1
2024-09-01,2024,9,Setembro,Curitiba,Sul,-25.43,-49.27,22.1,16.0,19.0,89.0,76.6,10.7,1014.7
2024-10-01,2024,10,Outubro,Teresina,Nordeste,-5.09,-42.8,29.0,18.5,23.8,48.3,16.4,12.6,1011.3
2020-06-01,2020,6,Junho,Natal,Nordeste,-5.79,-35.21,26.7,17.4,22.0,58.6,205.4,12.0,1014.9
2022-12-01,2022,12,Dezembro,Teresina,Nordeste,-5.09,-42.8,31.1,25.1,28.1,53.7,0.0,22.1,1013.1
2023-01-01,2023,1,Janeiro,Goiânia,Centro-Oeste,-16.69,-49.26,26.9,17.3,22.1,68.8,27.2,13.8,1024.8
2020-05-01,2020,5,Maio,Vitória,Sudeste,-20.32,-40.34,26.1,16.4,21.2,77.4,208.0,30.6,1003.7
2022-04-01,2022,4,Abril,Campo Grande,Centro-Oeste,-20.44,-54.65,28.7,20.6,24.6,76.5,160.4,26.8,1008.4
2020-10-01,2020,10,Outubro,Teresina,Nordeste,-5.09,-42.8,31.6,24.2,27.9,48.5,32.0,15.0,1020.3
2023-03-01,2023,3,Março,Macapá,Norte,0.03,-51.07,27.8,20.8,24.3,85.7,260.8,9.1,1015.1
2021-05-01,2021,5,Maio,Macapá,Norte,0.03,-51.07,30.0,22.3,26.2,82.6,346.3,20.4,1018.1
2024-08-01,2024,8,Agosto,Porto Velho,Norte,-8.76,-63.9,26.4,17.4,21.9,77.2,279.5,26.2,1009.8
2022-03-01,2022,3,Março,Belém,Norte,-1.45,-48.5,29.8,19.9,24.8,71.5,265.9,5.3,1015.6
2020-04-01,2020,4,Abril,Porto Velho,Norte,-8.76,-63.9,30.0,18.5,24.2,72.1,262.0,23.9,1006.7
2024-07-01,2024,7,Julho,Maceió,Nordeste,-9.67,-35.74,28.2,17.4,22.8,65.6,237.5,22.6,1011.0
2024-09-01,2024,9,Setembro,Fortaleza,Nordeste,-3.72,-38.54,27.0,18.6,22.8,59.3,72.1,26.4,1014.8
2023-12-01,2023,12,Dezembro,Brasília,Centro-Oeste,-15.78,-47.93,20.8,9.7,15.2,61.7,53.6,23.5,1005.6
2023-11-01,2023,11,Novembro,Florianópolis,Sul,-27.6,-48.55,25.2,14.7,20.0,88.6,133.5,25.7,1012.1
2024-05-01,2024,5,Maio,Cuiabá,Centro-Oeste,-15.6,-56.1,30.4,22.4,26.4,71.6,153.9,26.4,1016.2
2020-01-01,2020,1,Janeiro,Fortaleza,Nordeste,-3.72,-38.54,27.0,17.2,22.1,54.7,26.4,21.6,1014.6
2024-12-01,2024,12,Dezembro,Florianópolis,Sul,-27.6,-48.55,20.7,9.4,15.0,77.9,142.2,19.8,1013.2
2023-07-01,2023,7,Julho,Maceió,Nordeste,-9.67,-35.74,25.4,16.8,21.1,74.7,217.1,33.1,1009.1
2020-09-01,2020,9,Setembro,Porto Velho,Norte,-8.76,-63.9,23.9,16.3,20.1,79.0,221.5,33.1,1009.6
2021-09-01,2021,9,Setembro,Brasília,Centro-Oeste,-15.78,-47.93,20.8,11.5,16.2,64.5,124.9,33.4,1007.7
2024-05-01,2024,5,Maio,Goiânia,Centro-Oeste,-16.69,-49.26,26.6,18.6,22.6,75.3,190.2,30.4,1015.6
2020-08-01,2020,8,Agosto,Cuiabá,Centro-Oeste,-15.6,-56.1,23.9,13.5,18.7,66.7,152.0,21.4,1012.5
2020-10-01,2020,10,Outubro,Curitiba,Sul,-25.43,-49.27,19.5,7.7,13.6,84.6,110.9,33.0,1015.5
2024-12-01,2024,12,Dezembro,Macapá,Norte,0.03,-51.07,26.3,18.7,22.5,85.8,275.2,35.0,1010.9
2023-04-01,2023,4,Abril,Recife,Nordeste,-8.05,-34.88,31.7,24.2,28.0,59.4,197.8,15.7,1015.2
2022-05-01,2022,5,Maio,Macapá,Norte,0.03,-51.07,28.7,17.9,23.3,81.2,319.4,13.8,1026.7
2024-07-01,2024,7,Julho,Florianópolis,Sul,-27.6,-48.55,20.4,8.5,14.4,80.9,96.5,9.0,1011.8
2021-11-01,2021,11,Novembro,Campo Grande,Centro-Oeste,-20.44,-54.65,22.0,11.8,16.9,68.0,136.4,11.7,1017.4
2023-11-01,2023,11,Novembro,Brasília,Centro-Oeste,-15.78,-47.93,20.5,13.4,17.0,74.2,100.0,18.6,1009.8
2024-11-01,2024,11,Novembro,Goiânia,Centro-Oeste,-16.69,-49.26,21.8,14.9,18.4,65.8,41.1,17.7,1007.4
2022-06-01,2022,6,Junho,Manaus,Norte,-3.1,-60.02,26.9,20.0,23.4,83.3,311.5,26.4,1004.9
2023-07-01,2023,7,Julho,Fortaleza,Nordeste,-3.72,-38.54,29.4,18.5,24.0,49.4,122.8,5.5,1011.8
2024-02-01,2024,2,Fevereiro,Fortaleza,Nordeste,-3.72,-38.54,30.6,22.4,26.5,61.2,27.0,14.6,1009.2
2022-11-01,2022,11,Novembro,São Paulo,Sudeste,-23.55,-46.63,17.5,8.3,12.9,73.9,49.1,26.2,1012.4
2023-06-01,2023,6,Junho,Porto Alegre,Sul,-30.03,-51.23,14.7,6.6,10.6,78.0,34.9,11.1,1003.0
2022-08-01,2022,8,Agosto,Manaus,Norte,-3.1,-60.02,26.9,18.1,22.5,88.9,275.4,19.2,1008.3
2021-01-01,2021,1,Janeiro,Vitória,Sudeste,-20.32,-40.34,23.5,12.4,18.0,79.8,51.0,17.8,1018.1
2022-04-01,2022,4,Abril,Teresina,Nordeste,-5.09,-42.8,32.5,20.6,26.6,56.1,77.3,24.1,1010.0
2023-11-01,2023,11,Novembro,Recife,Nordeste,-8.05,-34.88,25.7,19.2,22.4,62.2,109.2,9.7,1013.9
2021-09-01,2021,9,Setembro,Curitiba,Sul,-25.43,-49.27,19.2,8.4,13.8,78.2,64.7,19.1,1017.4
2020-04-01,2020,4,Abril,Fortaleza,Nordeste,-3.72,-38.54,31.4,20.4,25.9,54.1,111.3,5.9,1013.4
2020-11-01,2020,11,Novembro,Belém,Norte,-1.45,-48.5,24.4,13.6,19.0,75.1,222.1,26.7,1010.2
2024-04-01,2024,4,Abril,Salvador,Nordeste,-12.97,-38.51,29.8,21.5,25.6,62.2,246.4,22.7,1006.2
2020-08-01,2020,8,Agosto,Salvador,Nordeste,-12.97,-38.51,28.4,18.4,23.4,60.2,252.8,5.7,1013.1
2020-03-01,2020,3,Março,Florianópolis,Sul,-27.6,-48.55,18.0,6.1,12.0,88.2,103.6,25.8,1014.1
2024-10-01,2024,10,Outubro,Fortaleza,Nordeste,-3.72,-38.54,27.6,20.4,24.0,54.5,42.4,20.9,1009.6
2021-06-01,2021,6,Junho,Goiânia,Centro-Oeste,-16.69,-49.26,23.7,12.3,18.0,73.0,191.5,20.0,1010.0
2022-03-01,2022,3,Março,Campo Grande,Centro-Oeste,-20.44,-54.65,26.3,14.5,20.4,76.2,184.8,8.3,1016.3
2023-09-01,2023,9,Setembro,Goiânia,Centro-Oeste,-16.69,-49.26,22.2,15.0,18.6,71.9,117.8,27.3,1015.4
2022-06-01,2022,6,Junho,Natal,Nordeste,-5.79,-35.21,28.5,17.6,23.0,54.9,160.6,25.3,1002.3
2021-12-01,2021,12,Dezembro,Campo Grande,Centro-Oeste,-20.44,-54.65,23.9,12.3,18.1,72.9,25.5,5.2,1016.4
2022-09-01,2022,9,Setembro,Teresina,Nordeste,-5.09,-42.8,28.7,18.8,23.8,58.2,62.5,20.3,1011.3
2024-01-01,2024,1,Janeiro,Manaus,Norte,-3.1,-60.02,26.8,18.1,22.5,88.1,163.9,25.2,1015.7
2024-06-01,2024,6,Junho,Belém,Norte,-1.45,-48.5,28.1,21.4,24.8,87.2,343.2,17.9,1009.2
2022-12-01,2022,12,Dezembro,Porto Velho,Norte,-8.76,-63.9,23.4,13.7,18.5,83.0,139.0,6.8,1015.1
2024-04-01,2024,4,Abril,Fortaleza,Nordeste,-3.72,-38.54,29.8,20.9,25.4,62.4,153.8,30.9,1010.7
2020-09-01,2020,9,Setembro,Vitória,Sudeste,-20.32,-40.34,23.2,12.4,17.8,75.4,175.4,32.9,1018.0
2020-12-01,2020,12,Dezembro,Salvador,Nordeste,-12.97,-38.51,25.2,14.5,19.8,71.1,143.8,19.8,1017.6
2023-06-01,2023,6,Junho,Cuiabá,Centro-Oeste,-15.6,-56.1,30.7,21.6,26.2,62.4,140.4,28.0,1021.1
2020-10-01,2020,10,Outubro,Rio de Janeiro,Sudeste,-22.91,-43.17,24.2,15.0,19.6,76.2,60.4,21.7,1014.7
2021-11-01,2021,11,Novembro,Salvador,Nordeste,-12.97,-38.51,22.9,11.0,17.0,67.1,81.9,31.8,1013.7
2024-02-01,2024,2,Fevereiro,Florianópolis,Sul,-27.6,-48.55,18.7,8.1,13.4,80.2,154.9,11.9,1021.9
2023-04-01,2023,4,Abril,Rio de Janeiro,Sudeste,-22.91,-43.17,27.1,16.9,22.0,77.2,142.1,16.1,1015.0
2020-04-01,2020,4,Abril,Salvador,Nordeste,-12.97,-38.51,26.8,19.5,23.2,66.4,201.8,21.4,1011.7
